,Week,Applications
737,1990-02-19/1990-02-25,2125
738,1990-02-26/1990-03-04,2128
739,1990-03-05/1990-03-11,2136
740,1990-03-12/1990-03-18,1736
741,1990-03-19/1990-03-25,2074
742,1990-03-26/1990-04-01,2123
743,1990-04-02/1990-04-08,2138
744,1990-04-09/1990-04-15,2147
745,1990-04-16/1990-04-22,2118
746,1990-04-23/1990-04-29,1982
747,1990-04-30/1990-05-06,2140
748,1990-05-07/1990-05-13,2135
749,1990-05-14/1990-05-20,2136
750,1990-05-21/1990-05-27,1981
751,1990-05-28/1990-06-03,2002
752,1990-06-04/1990-06-10,2086
753,1990-06-11/1990-06-17,2072
754,1990-06-18/1990-06-24,2135
755,1990-06-25/1990-07-01,2082
756,1990-07-02/1990-07-08,2091
757,1990-07-09/1990-07-15,1582
758,1990-07-16/1990-07-22,1582
759,1990-07-23/1990-07-29,1579
760,1990-07-30/1990-08-05,1691
761,1990-08-06/1990-08-12,2086
762,1990-08-13/1990-08-19,2081
763,1990-08-20/1990-08-26,2080
764,1990-08-27/1990-09-02,2080
765,1990-09-03/1990-09-09,2031
766,1990-09-10/1990-09-16,1957
767,1990-09-17/1990-09-23,1676
768,1990-09-24/1990-09-30,1662
769,1990-10-01/1990-10-07,1561
770,1990-10-08/1990-10-14,1508
771,1990-10-15/1990-10-21,1821
772,1990-10-22/1990-10-28,1914
773,1990-10-29/1990-11-04,1729
774,1990-11-05/1990-11-11,2008
775,1990-11-12/1990-11-18,1708
776,1990-11-19/1990-11-25,1982
777,1990-11-26/1990-12-02,1933
778,1990-12-03/1990-12-09,1932
779,1990-12-10/1990-12-16,1848
780,1990-12-17/1990-12-23,1825
781,1990-12-24/1990-12-30,1898
782,1990-12-31/1991-01-06,1742
783,1991-01-07/1991-01-13,2051
784,1991-01-14/1991-01-20,1832
785,1991-01-21/1991-01-27,1878
786,1991-01-28/1991-02-03,1859
787,1991-02-04/1991-02-10,2173
788,1991-02-11/1991-02-17,2047
789,1991-02-18/1991-02-24,2236
790,1991-02-25/1991-03-03,1808
791,1991-03-04/1991-03-10,1783
792,1991-03-11/1991-03-17,1747
793,1991-03-18/1991-03-24,2133
794,1991-03-25/1991-03-31,2045
795,1991-04-01/1991-04-07,1748
796,1991-04-08/1991-04-14,2090
797,1991-04-15/1991-04-21,2007
798,1991-04-22/1991-04-28,1778
799,1991-04-29/1991-05-05,2081
800,1991-05-06/1991-05-12,1997
801,1991-05-13/1991-05-19,2080
802,1991-05-20/1991-05-26,2087
803,1991-05-27/1991-06-02,2093
804,1991-06-03/1991-06-09,2100
805,1991-06-10/1991-06-16,2009
806,1991-06-17/1991-06-23,1708
807,1991-06-24/1991-06-30,2094
808,1991-07-01/1991-07-07,2071
809,1991-07-08/1991-07-14,2095
810,1991-07-15/1991-07-21,2080
811,1991-07-22/1991-07-28,2088
812,1991-07-29/1991-08-04,1749
813,1991-08-05/1991-08-11,2079
814,1991-08-12/1991-08-18,2025
815,1991-08-19/1991-08-25,2044
816,1991-08-26/1991-09-01,2127
817,1991-09-02/1991-09-08,2390
818,1991-09-09/1991-09-15,2119
819,1991-09-16/1991-09-22,2317
820,1991-09-23/1991-09-29,2011
821,1991-09-30/1991-10-06,2273
822,1991-10-07/1991-10-13,2229
823,1991-10-14/1991-10-20,2251
824,1991-10-21/1991-10-27,2303
825,1991-10-28/1991-11-03,2050
826,1991-11-04/1991-11-10,1646
827,1991-11-11/1991-11-17,2008
828,1991-11-18/1991-11-24,1917
829,1991-11-25/1991-12-01,1950
830,1991-12-02/1991-12-08,1821
831,1991-12-09/1991-12-15,2124
832,1991-12-16/1991-12-22,1681
833,1991-12-23/1991-12-29,2122
834,1991-12-30/1992-01-05,2115
835,1992-01-06/1992-01-12,2127
836,1992-01-13/1992-01-19,2123
837,1992-01-20/1992-01-26,1791
838,1992-01-27/1992-02-02,1760
839,1992-02-03/1992-02-09,1759
840,1992-02-10/1992-02-16,1794
841,1992-02-17/1992-02-23,2152
842,1992-02-24/1992-03-01,2106
843,1992-03-02/1992-03-08,2103
844,1992-03-09/1992-03-15,1769
845,1992-03-16/1992-03-22,2146
846,1992-03-23/1992-03-29,2172
847,1992-03-30/1992-04-05,2169
848,1992-04-06/1992-04-12,2169
849,1992-04-13/1992-04-19,2148
850,1992-04-20/1992-04-26,2269
851,1992-04-27/1992-05-03,2140
852,1992-05-04/1992-05-10,2221
853,1992-05-11/1992-05-17,2159
854,1992-05-18/1992-05-24,2159
855,1992-05-25/1992-05-31,2193
856,1992-06-01/1992-06-07,2218
857,1992-06-08/1992-06-14,2180
858,1992-06-15/1992-06-21,1817
859,1992-06-22/1992-06-28,2204
860,1992-06-29/1992-07-05,2195
861,1992-07-06/1992-07-12,2210
862,1992-07-13/1992-07-19,2199
863,1992-07-20/1992-07-26,2195
864,1992-07-27/1992-08-02,1848
865,1992-08-03/1992-08-09,2144
866,1992-08-10/1992-08-16,2148
867,1992-08-17/1992-08-23,2144
868,1992-08-24/1992-08-30,2155
869,1992-08-31/1992-09-06,2155
870,1992-09-07/1992-09-13,2138
871,1992-09-14/1992-09-20,2139
872,1992-09-21/1992-09-27,2140
873,1992-09-28/1992-10-04,1752
874,1992-10-05/1992-10-11,2103
875,1992-10-12/1992-10-18,2103
876,1992-10-19/1992-10-25,2099
877,1992-10-26/1992-11-01,2103
878,1992-11-02/1992-11-08,1718
879,1992-11-09/1992-11-15,2089
880,1992-11-16/1992-11-22,2103
881,1992-11-23/1992-11-29,2100
882,1992-11-30/1992-12-06,1725
883,1992-12-07/1992-12-13,2093
884,1992-12-14/1992-12-20,2087
885,1992-12-21/1992-12-27,1714
886,1992-12-28/1993-01-03,2093
887,1993-01-04/1993-01-10,2108
888,1993-01-11/1993-01-17,2101
889,1993-01-18/1993-01-24,1717
890,1993-01-25/1993-01-31,1712
891,1993-02-01/1993-02-07,1721
892,1993-02-08/1993-02-14,1705
893,1993-02-15/1993-02-21,2100
894,1993-02-22/1993-02-28,2097
895,1993-03-01/1993-03-07,2109
896,1993-03-08/1993-03-14,1755
897,1993-03-15/1993-03-21,2153
898,1993-03-22/1993-03-28,2152
899,1993-03-29/1993-04-04,2154
900,1993-04-05/1993-04-11,2174
901,1993-04-12/1993-04-18,2148
902,1993-04-19/1993-04-25,2149
903,1993-04-26/1993-05-02,2148
904,1993-05-03/1993-05-09,2157
905,1993-05-10/1993-05-16,2146
906,1993-05-17/1993-05-23,2151
907,1993-05-24/1993-05-30,2154
908,1993-05-31/1993-06-06,2175
909,1993-06-07/1993-06-13,2172
910,1993-06-14/1993-06-20,2180
911,1993-06-21/1993-06-27,1785
912,1993-06-28/1993-07-04,2169
913,1993-07-05/1993-07-11,2195
914,1993-07-12/1993-07-18,2189
915,1993-07-19/1993-07-25,2189
916,1993-07-26/1993-08-01,1842
917,1993-08-02/1993-08-08,2235
918,1993-08-09/1993-08-15,2227
919,1993-08-16/1993-08-22,2230
920,1993-08-23/1993-08-29,2221
921,1993-08-30/1993-09-05,2223
922,1993-09-06/1993-09-12,2240
923,1993-09-13/1993-09-19,2231
924,1993-09-20/1993-09-26,2228
925,1993-09-27/1993-10-03,1831
926,1993-10-04/1993-10-10,2270
927,1993-10-11/1993-10-17,2268
928,1993-10-18/1993-10-24,2253
929,1993-10-25/1993-10-31,2255
930,1993-11-01/1993-11-07,1899
931,1993-11-08/1993-11-14,2291
932,1993-11-15/1993-11-21,2297
933,1993-11-22/1993-11-28,2310
934,1993-11-29/1993-12-05,2303
935,1993-12-06/1993-12-12,1913
936,1993-12-13/1993-12-19,2300
937,1993-12-20/1993-12-26,1901
938,1993-12-27/1994-01-02,2300
939,1994-01-03/1994-01-09,2308
940,1994-01-10/1994-01-16,2303
941,1994-01-17/1994-01-23,1891
942,1994-01-24/1994-01-30,1864
943,1994-01-31/1994-02-06,1872
944,1994-02-07/1994-02-13,1851
945,1994-02-14/1994-02-20,2261
946,1994-02-21/1994-02-27,2255
947,1994-02-28/1994-03-06,2246
948,1994-03-07/1994-03-13,2220
949,1994-03-14/1994-03-20,1826
950,1994-03-21/1994-03-27,2223
951,1994-03-28/1994-04-03,2227
952,1994-04-04/1994-04-10,2262
953,1994-04-11/1994-04-17,2263
954,1994-04-18/1994-04-24,2263
955,1994-04-25/1994-05-01,2254
956,1994-05-02/1994-05-08,2275
957,1994-05-09/1994-05-15,2270
958,1994-05-16/1994-05-22,2254
959,1994-05-23/1994-05-29,2262
960,1994-05-30/1994-06-05,2265
961,1994-06-06/1994-06-12,2268
962,1994-06-13/1994-06-19,2255
963,1994-06-20/1994-06-26,1854
964,1994-06-27/1994-07-03,2257
965,1994-07-04/1994-07-10,2274
966,1994-07-11/1994-07-17,2264
967,1994-07-18/1994-07-24,2256
968,1994-07-25/1994-07-31,1852
969,1994-08-01/1994-08-07,2269
970,1994-08-08/1994-08-14,2240
971,1994-08-15/1994-08-21,2238
972,1994-08-22/1994-08-28,2248
973,1994-08-29/1994-09-04,2248
974,1994-09-05/1994-09-11,2252
975,1994-09-12/1994-09-18,2247
976,1994-09-19/1994-09-25,2257
977,1994-09-26/1994-10-02,1851
978,1994-10-03/1994-10-09,2311
979,1994-10-10/1994-10-16,2321
980,1994-10-17/1994-10-23,2315
981,1994-10-24/1994-10-30,2321
982,1994-10-31/1994-11-06,1913
983,1994-11-07/1994-11-13,2321
984,1994-11-14/1994-11-20,2310
985,1994-11-21/1994-11-27,2310
986,1994-11-28/1994-12-04,2311
987,1994-12-05/1994-12-11,2326
988,1994-12-12/1994-12-18,1904
989,1994-12-19/1994-12-25,1898
990,1994-12-26/1995-01-01,2317
991,1995-01-02/1995-01-08,2357
992,1995-01-09/1995-01-15,2308
993,1995-01-16/1995-01-22,1909
994,1995-01-23/1995-01-29,1900
995,1995-01-30/1995-02-05,1902
996,1995-02-06/1995-02-12,1902
997,1995-02-13/1995-02-19,2317
998,1995-02-20/1995-02-26,2310
999,1995-02-27/1995-03-05,2323
1000,1995-03-06/1995-03-12,2317
1001,1995-03-13/1995-03-19,1908
1002,1995-03-20/1995-03-26,2327
1003,1995-03-27/1995-04-02,2316
1004,1995-04-03/1995-04-09,2285
1005,1995-04-10/1995-04-16,2279
1006,1995-04-17/1995-04-23,2282
1007,1995-04-24/1995-04-30,2283
1008,1995-05-01/1995-05-07,2287
1009,1995-05-08/1995-05-14,2285
1010,1995-05-15/1995-05-21,2271
1011,1995-05-22/1995-05-28,2274
1012,1995-05-29/1995-06-04,2280
1013,1995-06-05/1995-06-11,2280
1014,1995-06-12/1995-06-18,2272
1015,1995-06-19/1995-06-25,1877
1016,1995-06-26/1995-07-02,2274
1017,1995-07-03/1995-07-09,2291
1018,1995-07-10/1995-07-16,2264
1019,1995-07-17/1995-07-23,2271
1020,1995-07-24/1995-07-30,2282
1021,1995-07-31/1995-08-06,1884
1022,1995-08-07/1995-08-13,2278
1023,1995-08-14/1995-08-20,2283
1024,1995-08-21/1995-08-27,2283
1025,1995-08-28/1995-09-03,2286
1026,1995-09-04/1995-09-10,2077
1027,1995-09-11/1995-09-17,2079
1028,1995-09-18/1995-09-24,2051
1029,1995-09-25/1995-10-01,1853
1030,1995-10-02/1995-10-08,2061
1031,1995-10-09/1995-10-15,2057
1032,1995-10-16/1995-10-22,2282
1033,1995-10-23/1995-10-29,2061
1034,1995-10-30/1995-11-05,2280
1035,1995-11-06/1995-11-12,1873
1036,1995-11-13/1995-11-19,2273
1037,1995-11-20/1995-11-26,2332
1038,1995-11-27/1995-12-03,2321
1039,1995-12-04/1995-12-10,2332
1040,1995-12-11/1995-12-17,2327
1041,1995-12-18/1995-12-24,1917
1042,1995-12-25/1995-12-31,2331
1043,1996-01-01/1996-01-07,2325
1044,1996-01-08/1996-01-14,2159
1045,1996-01-15/1996-01-21,2141
1046,1996-01-22/1996-01-28,1742
1047,1996-01-29/1996-02-04,1732
1048,1996-02-05/1996-02-11,1720
1049,1996-02-12/1996-02-18,1735
1050,1996-02-19/1996-02-25,2060
1051,1996-02-26/1996-03-03,2070
1052,1996-03-04/1996-03-10,2093
1053,1996-03-11/1996-03-17,2099
1054,1996-03-18/1996-03-24,1754
1055,1996-03-25/1996-03-31,2094
1056,1996-04-01/1996-04-07,2323
1057,1996-04-08/1996-04-14,2316
1058,1996-04-15/1996-04-21,2321
1059,1996-04-22/1996-04-28,2327
1060,1996-04-29/1996-05-05,2367
1061,1996-05-06/1996-05-12,2381
1062,1996-05-13/1996-05-19,2360
1063,1996-05-20/1996-05-26,2414
1064,1996-05-27/1996-06-02,2408
1065,1996-06-03/1996-06-09,2428
1066,1996-06-10/1996-06-16,2450
1067,1996-06-17/1996-06-23,2464
1068,1996-06-24/1996-06-30,2431
1069,1996-07-01/1996-07-07,2459
1070,1996-07-08/1996-07-14,2451
1071,1996-07-15/1996-07-21,2440
1072,1996-07-22/1996-07-28,2442
1073,1996-07-29/1996-08-04,2428
1074,1996-08-05/1996-08-11,2457
1075,1996-08-12/1996-08-18,2445
1076,1996-08-19/1996-08-25,2443
1077,1996-08-26/1996-09-01,2442
1078,1996-09-02/1996-09-08,2460
1079,1996-09-09/1996-09-15,2448
1080,1996-09-16/1996-09-22,2443
1081,1996-09-23/1996-09-29,2455
1082,1996-09-30/1996-10-06,2032
1083,1996-10-07/1996-10-13,2476
1084,1996-10-14/1996-10-20,2480
1085,1996-10-21/1996-10-27,2471
1086,1996-10-28/1996-11-03,2033
1087,1996-11-04/1996-11-10,2475
1088,1996-11-11/1996-11-17,2466
1089,1996-11-18/1996-11-24,2473
1090,1996-11-25/1996-12-01,2464
1091,1996-12-02/1996-12-08,2490
1092,1996-12-09/1996-12-15,2473
1093,1996-12-16/1996-12-22,2479
1094,1996-12-23/1996-12-29,2015
1095,1996-12-30/1997-01-05,2457
1096,1997-01-06/1997-01-12,2390
1097,1997-01-13/1997-01-19,2397
1098,1997-01-20/1997-01-26,1951
1099,1997-01-27/1997-02-02,1938
1100,1997-02-03/1997-02-09,2370
1101,1997-02-10/1997-02-16,2394
1102,1997-02-17/1997-02-23,1957
1103,1997-02-24/1997-03-02,1874
1104,1997-03-03/1997-03-09,2248
1105,1997-03-10/1997-03-16,2310
1106,1997-03-17/1997-03-23,2241
1107,1997-03-24/1997-03-30,2239
1108,1997-03-31/1997-04-06,2241
1109,1997-04-07/1997-04-13,2235
1110,1997-04-14/1997-04-20,2230
1111,1997-04-21/1997-04-27,1892
1112,1997-04-28/1997-05-04,2244
1113,1997-05-05/1997-05-11,2251
1114,1997-05-12/1997-05-18,2300
1115,1997-05-19/1997-05-25,1962
1116,1997-05-26/1997-06-01,2301
1117,1997-06-02/1997-06-08,2311
1118,1997-06-09/1997-06-15,2303
1119,1997-06-16/1997-06-22,2369
1120,1997-06-23/1997-06-29,2023
1121,1997-06-30/1997-07-06,2584
1122,1997-07-07/1997-07-13,2547
1123,1997-07-14/1997-07-20,2538
1124,1997-07-21/1997-07-27,2088
1125,1997-07-28/1997-08-03,2105
1126,1997-08-04/1997-08-10,2542
1127,1997-08-11/1997-08-17,2539
1128,1997-08-18/1997-08-24,2672
1129,1997-08-25/1997-08-31,2240
1130,1997-09-01/1997-09-07,2689
1131,1997-09-08/1997-09-14,2676
1132,1997-09-15/1997-09-21,2696
1133,1997-09-22/1997-09-28,2693
1134,1997-09-29/1997-10-05,2217
1135,1997-10-06/1997-10-12,2682
1136,1997-10-13/1997-10-19,2683
1137,1997-10-20/1997-10-26,2659
1138,1997-10-27/1997-11-02,2224
1139,1997-11-03/1997-11-09,2708
1140,1997-11-10/1997-11-16,2675
1141,1997-11-17/1997-11-23,2669
1142,1997-11-24/1997-11-30,2678
1143,1997-12-01/1997-12-07,2686
1144,1997-12-08/1997-12-14,2785
1145,1997-12-15/1997-12-21,2782
1146,1997-12-22/1997-12-28,2382
1147,1997-12-29/1998-01-04,2771
1148,1998-01-05/1998-01-11,2781
1149,1998-01-12/1998-01-18,2772
1150,1998-01-19/1998-01-25,2367
1151,1998-01-26/1998-02-01,2366
1152,1998-02-02/1998-02-08,2765
1153,1998-02-09/1998-02-15,2764
1154,1998-02-16/1998-02-22,2369
1155,1998-02-23/1998-03-01,2338
1156,1998-03-02/1998-03-08,2878
1157,1998-03-09/1998-03-15,2895
1158,1998-03-16/1998-03-22,2901
1159,1998-03-23/1998-03-29,2906
1160,1998-03-30/1998-04-05,2898
1161,1998-04-06/1998-04-12,2965
1162,1998-04-13/1998-04-19,2953
1163,1998-04-20/1998-04-26,2557
1164,1998-04-27/1998-05-03,3156
1165,1998-05-04/1998-05-10,3350
1166,1998-05-11/1998-05-17,3351
1167,1998-05-18/1998-05-24,2876
1168,1998-05-25/1998-05-31,3563
1169,1998-06-01/1998-06-07,3566
1170,1998-06-08/1998-06-14,3639
1171,1998-06-15/1998-06-21,3603
1172,1998-06-22/1998-06-28,2914
1173,1998-06-29/1998-07-05,3506
1174,1998-07-06/1998-07-12,3626
1175,1998-07-13/1998-07-19,3524
1176,1998-07-20/1998-07-26,2894
1177,1998-07-27/1998-08-02,2910
1178,1998-08-03/1998-08-09,3623
1179,1998-08-10/1998-08-16,3425
1180,1998-08-17/1998-08-23,3132
1181,1998-08-24/1998-08-30,2475
1182,1998-08-31/1998-09-06,3554
1183,1998-09-07/1998-09-13,3735
1184,1998-09-14/1998-09-20,3715
1185,1998-09-21/1998-09-27,3698
1186,1998-09-28/1998-10-04,3008
1187,1998-10-05/1998-10-11,3706
1188,1998-10-12/1998-10-18,3696
1189,1998-10-19/1998-10-25,3746
1190,1998-10-26/1998-11-01,3069
1191,1998-11-02/1998-11-08,3761
1192,1998-11-09/1998-11-15,3783
1193,1998-11-16/1998-11-22,3420
1194,1998-11-23/1998-11-29,3415
1195,1998-11-30/1998-12-06,3395
1196,1998-12-07/1998-12-13,3408
1197,1998-12-14/1998-12-20,2500
1198,1998-12-21/1998-12-27,2533
1199,1998-12-28/1999-01-03,2515
1200,1999-01-04/1999-01-10,2534
1201,1999-01-11/1999-01-17,3271
1202,1999-01-18/1999-01-24,2685
1203,1999-01-25/1999-01-31,2694
1204,1999-02-01/1999-02-07,3275
1205,1999-02-08/1999-02-14,3255
1206,1999-02-15/1999-02-21,2689
1207,1999-02-22/1999-02-28,2602
1208,1999-03-01/1999-03-07,3177
1209,1999-03-08/1999-03-14,3175
1210,1999-03-15/1999-03-21,3164
1211,1999-03-22/1999-03-28,3159
1212,1999-03-29/1999-04-04,3247
1213,1999-04-05/1999-04-11,3262
1214,1999-04-12/1999-04-18,1664
1215,1999-04-19/1999-04-25,2475
1216,1999-04-26/1999-05-02,2717
1217,1999-05-03/1999-05-09,2839
1218,1999-05-10/1999-05-16,3007
1219,1999-05-17/1999-05-23,2409
1220,1999-05-24/1999-05-30,2058
1221,1999-05-31/1999-06-06,2122
1222,1999-06-07/1999-06-13,1753
1223,1999-06-14/1999-06-20,2355
1224,1999-06-21/1999-06-27,2397
1225,1999-06-28/1999-07-04,3316
1226,1999-07-05/1999-07-11,2760
1227,1999-07-12/1999-07-18,3376
1228,1999-07-19/1999-07-25,2901
1229,1999-07-26/1999-08-01,4149
1230,1999-08-02/1999-08-08,3252
1231,1999-08-09/1999-08-15,3715
1232,1999-08-16/1999-08-22,3680
1233,1999-08-23/1999-08-29,3013
1234,1999-08-30/1999-09-05,3263
1235,1999-09-06/1999-09-12,3801
1236,1999-09-13/1999-09-19,3829
1237,1999-09-20/1999-09-26,3304
1238,1999-09-27/1999-10-03,3997
1239,1999-10-04/1999-10-10,3849
1240,1999-10-11/1999-10-17,3189
1241,1999-10-18/1999-10-24,4055
1242,1999-10-25/1999-10-31,4332
1243,1999-11-01/1999-11-07,4646
1244,1999-11-08/1999-11-14,4685
1245,1999-11-15/1999-11-21,4544
1246,1999-11-22/1999-11-28,4675
1247,1999-11-29/1999-12-05,4484
1248,1999-12-06/1999-12-12,4177
1249,1999-12-13/1999-12-19,3336
1250,1999-12-20/1999-12-26,3388
1251,1999-12-27/2000-01-02,3551
1252,2000-01-03/2000-01-09,3003
1253,2000-01-10/2000-01-16,2924
1254,2000-01-17/2000-01-23,2142
1255,2000-01-24/2000-01-30,2735
1256,2000-01-31/2000-02-06,3176
1257,2000-02-07/2000-02-13,2578
1258,2000-02-14/2000-02-20,3031
1259,2000-02-21/2000-02-27,3171
1260,2000-02-28/2000-03-05,3195
1261,2000-03-06/2000-03-12,3374
1262,2000-03-13/2000-03-19,3436
1263,2000-03-20/2000-03-26,2910
1264,2000-03-27/2000-04-02,3365
1265,2000-04-03/2000-04-09,3199
1266,2000-04-10/2000-04-16,2900
1267,2000-04-17/2000-04-23,3338
1268,2000-04-24/2000-04-30,3436
1269,2000-05-01/2000-05-07,3369
1270,2000-05-08/2000-05-14,3835
1271,2000-05-15/2000-05-21,3843
1272,2000-05-22/2000-05-28,2919
1273,2000-05-29/2000-06-04,2968
1274,2000-06-05/2000-06-11,3344
1275,2000-06-12/2000-06-18,3256
1276,2000-06-19/2000-06-25,3112
1277,2000-06-26/2000-07-02,3364
1278,2000-07-03/2000-07-09,3758
1279,2000-07-10/2000-07-16,3971
1280,2000-07-17/2000-07-23,3733
1281,2000-07-24/2000-07-30,2652
1282,2000-07-31/2000-08-06,3833
1283,2000-08-07/2000-08-13,3785
1284,2000-08-14/2000-08-20,3683
1285,2000-08-21/2000-08-27,3972
1286,2000-08-28/2000-09-03,4037
1287,2000-09-04/2000-09-10,3867
1288,2000-09-11/2000-09-17,3688
1289,2000-09-18/2000-09-24,3638
1290,2000-09-25/2000-10-01,2960
1291,2000-10-02/2000-10-08,3743
1292,2000-10-09/2000-10-15,2615
1293,2000-10-16/2000-10-22,3932
1294,2000-10-23/2000-10-29,4049
1295,2000-10-30/2000-11-05,4000
1296,2000-11-06/2000-11-12,3693
1297,2000-11-13/2000-11-19,3531
1298,2000-11-20/2000-11-26,3689
1299,2000-11-27/2000-12-03,3518
1300,2000-12-04/2000-12-10,3531
1301,2000-12-11/2000-12-17,3461
1302,2000-12-18/2000-12-24,2843
1303,2000-12-25/2000-12-31,4087
1304,2001-01-01/2001-01-07,2763
1305,2001-01-08/2001-01-14,3651
1306,2001-01-15/2001-01-21,2709
1307,2001-01-22/2001-01-28,2890
1308,2001-01-29/2001-02-04,4125
1309,2001-02-05/2001-02-11,3840
1310,2001-02-12/2001-02-18,3610
1311,2001-02-19/2001-02-25,3690
1312,2001-02-26/2001-03-04,3667
1313,2001-03-05/2001-03-11,3755
1314,2001-03-12/2001-03-18,3356
1315,2001-03-19/2001-03-25,3735
1316,2001-03-26/2001-04-01,3896
1317,2001-04-02/2001-04-08,3865
1318,2001-04-09/2001-04-15,3934
1319,2001-04-16/2001-04-22,3925
1320,2001-04-23/2001-04-29,3953
1321,2001-04-30/2001-05-06,3806
1322,2001-05-07/2001-05-13,3966
1323,2001-05-14/2001-05-20,3828
1324,2001-05-21/2001-05-27,3828
1325,2001-05-28/2001-06-03,3783
1326,2001-06-04/2001-06-10,3613
1327,2001-06-11/2001-06-17,3683
1328,2001-06-18/2001-06-24,2983
1329,2001-06-25/2001-07-01,3800
1330,2001-07-02/2001-07-08,3761
1331,2001-07-09/2001-07-15,3741
1332,2001-07-16/2001-07-22,3625
1333,2001-07-23/2001-07-29,3649
1334,2001-07-30/2001-08-05,3115
1335,2001-08-06/2001-08-12,3622
1336,2001-08-13/2001-08-19,3574
1337,2001-08-20/2001-08-26,3447
1338,2001-08-27/2001-09-02,3974
1339,2001-09-03/2001-09-09,3742
1340,2001-09-10/2001-09-16,3610
1341,2001-09-17/2001-09-23,3743
1342,2001-09-24/2001-09-30,3110
1343,2001-10-01/2001-10-07,3232
1344,2001-10-08/2001-10-14,3477
1345,2001-10-15/2001-10-21,3590
1346,2001-10-22/2001-10-28,3626
1347,2001-10-29/2001-11-04,3205
1348,2001-11-05/2001-11-11,3517
1349,2001-11-12/2001-11-18,3556
1350,2001-11-19/2001-11-25,3996
1351,2001-11-26/2001-12-02,3682
1352,2001-12-03/2001-12-09,3428
1353,2001-12-10/2001-12-16,3419
1354,2001-12-17/2001-12-23,1821
1355,2001-12-24/2001-12-30,2256
1356,2001-12-31/2002-01-06,2188
1357,2002-01-07/2002-01-13,2145
1358,2002-01-14/2002-01-20,1738
1359,2002-01-21/2002-01-27,1629
1360,2002-01-28/2002-02-03,2203
1361,2002-02-04/2002-02-10,2187
1362,2002-02-11/2002-02-17,2216
1363,2002-02-18/2002-02-24,2280
1364,2002-02-25/2002-03-03,2570
1365,2002-03-04/2002-03-10,2360
1366,2002-03-11/2002-03-17,3314
1367,2002-03-18/2002-03-24,3598
1368,2002-03-25/2002-03-31,3489
1369,2002-04-01/2002-04-07,3823
1370,2002-04-08/2002-04-14,3937
1371,2002-04-15/2002-04-21,4090
1372,2002-04-22/2002-04-28,3957
1373,2002-04-29/2002-05-05,4117
1374,2002-05-06/2002-05-12,4423
1375,2002-05-13/2002-05-19,4097
1376,2002-05-20/2002-05-26,4431
1377,2002-05-27/2002-06-02,4087
1378,2002-06-03/2002-06-09,4299
1379,2002-06-10/2002-06-16,4449
1380,2002-06-17/2002-06-23,3401
1381,2002-06-24/2002-06-30,4218
1382,2002-07-01/2002-07-07,3644
1383,2002-07-08/2002-07-14,3511
1384,2002-07-15/2002-07-21,3643
1385,2002-07-22/2002-07-28,3579
1386,2002-07-29/2002-08-04,2304
1387,2002-08-05/2002-08-11,3781
1388,2002-08-12/2002-08-18,4343
1389,2002-08-19/2002-08-25,4333
1390,2002-08-26/2002-09-01,4227
1391,2002-09-02/2002-09-08,3883
1392,2002-09-09/2002-09-15,3850
1393,2002-09-16/2002-09-22,4010
1394,2002-09-23/2002-09-29,4293
1395,2002-09-30/2002-10-06,3275
1396,2002-10-07/2002-10-13,3708
1397,2002-10-14/2002-10-20,3818
1398,2002-10-21/2002-10-27,3745
1399,2002-10-28/2002-11-03,3722
1400,2002-11-04/2002-11-10,4075
1401,2002-11-11/2002-11-17,3659
1402,2002-11-18/2002-11-24,3591
1403,2002-11-25/2002-12-01,3793
1404,2002-12-02/2002-12-08,3441
1405,2002-12-09/2002-12-15,3558
1406,2002-12-16/2002-12-22,3482
1407,2002-12-23/2002-12-29,2477
1408,2002-12-30/2003-01-05,3503
1409,2003-01-06/2003-01-12,3566
1410,2003-01-13/2003-01-19,2984
1411,2003-01-20/2003-01-26,2968
1412,2003-01-27/2003-02-02,2972
1413,2003-02-03/2003-02-09,3676
1414,2003-02-10/2003-02-16,3662
1415,2003-02-17/2003-02-23,3781
1416,2003-02-24/2003-03-02,3777
1417,2003-03-03/2003-03-09,3862
1418,2003-03-10/2003-03-16,2881
1419,2003-03-17/2003-03-23,3798
1420,2003-03-24/2003-03-30,3851
1421,2003-03-31/2003-04-06,3853
1422,2003-04-07/2003-04-13,3856
1423,2003-04-14/2003-04-20,3839
1424,2003-04-21/2003-04-27,3844
1425,2003-04-28/2003-05-04,3928
1426,2003-05-05/2003-05-11,3971
1427,2003-05-12/2003-05-18,3873
1428,2003-05-19/2003-05-25,3923
1429,2003-05-26/2003-06-01,3712
1430,2003-06-02/2003-06-08,3745
1431,2003-06-09/2003-06-15,3746
1432,2003-06-16/2003-06-22,3322
1433,2003-06-23/2003-06-29,3750
1434,2003-06-30/2003-07-06,3761
1435,2003-07-07/2003-07-13,3762
1436,2003-07-14/2003-07-20,3756
1437,2003-07-21/2003-07-27,3692
1438,2003-07-28/2003-08-03,3214
1439,2003-08-04/2003-08-10,3313
1440,2003-08-11/2003-08-17,2713
1441,2003-08-18/2003-08-24,2833
1442,2003-08-25/2003-08-31,3062
1443,2003-09-01/2003-09-07,3808
1444,2003-09-08/2003-09-14,3703
1445,2003-09-15/2003-09-21,3596
1446,2003-09-22/2003-09-28,3667
1447,2003-09-29/2003-10-05,3813
1448,2003-10-06/2003-10-12,2563
